Actual_Melt_Index,Predicted_Melt_Index,Water_Availability_Index
1.0863702448464776,1.1629396548168636,0.4623337492439983
1.0,0.9838809986341019,0.5040624919985109
0.8493845854009564,0.8697971869404101,0.5348173625377637
0.9784172661870504,0.9783628849219361,0.5054684393957678
0.9888888888888889,0.9885761332394394,0.5028723734961937
0.9963702359346642,0.9870224905190209,0.5032655668325096
0.9844357976653697,0.800660951968958,0.5553516329137564
0.5427175860443186,0.7901220706928705,0.5586211221969617
0.4755662995791925,0.46053549693444906,0.6846803806541659
0.978,0.9799560792683342,0.5050617084241265
0.9529914529914529,0.9502700098378962,0.5127495141470788
0.9696444058976583,0.97594968669931,0.506085760549112
0.9466666666666667,0.9543513751413246,0.5116787148512059
2.9655433260220394,0.9610008323664442,0.5099436897195229
1.0052173913043478,0.9874707025023084,0.5031520709920193
0.9818181818181818,0.977088899040353,0.5057941504225651
0.8618524332810047,0.8722080149204394,0.534128682299491
0.9477611940298507,0.9558946786076262,0.5112749735133416
0.9863481228668942,0.9763210606646812,0.5059906610840232
0.9827586206896551,0.9803053637699503,0.5049726260884727
0.9609665427509294,0.9791565235227324,0.5052657473599329
0.987037037037037,0.9882850226494816,0.5029460005022086
0.6892545982575023,1.0071393999362233,0.49822149873186433
0.975925925925926,0.9817702037159741,0.5045993718771843
0.8515531728847973,0.944747273510217,0.5142056315600466
0.9948453608247423,0.9796358009795156,0.5051434205752412
0.8999204951361731,0.9639259573565385,0.509184165652563
1.0,0.9854625163862866,0.5036609816336832
0.17780231916068473,0.17523941001927665,0.8508904581268234
0.9864636209813875,0.979743946071777,0.5051158267129482
0.9433333333333334,0.9506044795921883,0.512661593091937
0.9724137931034482,0.9814690403416515,0.5046760659089463
0.92,0.9333269160428072,0.5172430961892522
0.9438025210084033,0.9532337275443424,0.5119714993132064
1.00945179584121,0.9953519387928503,0.5011647221517126
0.9956342469075916,0.9734812672732849,0.5067187698121288
0.981203007518797,0.9852092719404959,0.5037252314576001
0.9229500687127806,0.9189083466903614,0.5211296317120881
0.9823943661971831,0.9787236423251848,0.5053762832817355
0.9809663250366032,0.9459165168973865,0.5138966606822489
0.9773596938775511,0.9725391898378352,0.5069607768260418
1.2650862068965518,1.1611865895324616,0.4627087752827182
0.9891750653228817,0.9886762586716341,0.5028470549892142
0.9664179104477612,0.9635642281342598,0.5092779679278332
0.9708410584864319,0.9805486275525067,0.5049106020869406
0.9912280701754386,0.9831569085229167,0.5042465352601949
1.002384602282405,0.988109524059357,0.5029903976105815
0.9639953542392566,0.9674168390886756,0.5082806958505086
0.9965397923875432,0.9849439141267102,0.5037925721140373
0.9962121212121212,0.9889309537894054,0.5027826622612276
0.9924812030075187,0.9883320054951603,0.5029341162523645
0.9947368421052631,0.965978056265309,0.5086526763679451
0.9857142857142858,0.9787912854330005,0.5053590074716643
1.0,0.991954470986012,0.5020195062515674
0.9941860465116279,0.9851271786473004,0.5037460625980735
0.9910215144841606,0.9839819014798397,0.5040368560086693
0.9090545105119094,0.9403035442769508,0.5153832775029268
1.0,0.9835266097690385,0.5041525508530686
0.9694244604316546,0.9703479113417416,0.5075245819501152
