Actual_Melt_Index,Predicted_Melt_Index
1.0863702448464776,1.1629396548168636
1.0,0.9838809986341019
0.8493845854009564,0.8697971869404101
0.9784172661870504,0.9783628849219361
0.9888888888888889,0.9885761332394394
0.9963702359346642,0.9870224905190209
0.9844357976653697,0.800660951968958
0.5427175860443186,0.7901220706928705
0.4755662995791925,0.46053549693444906
0.978,0.9799560792683342
0.9529914529914529,0.9502700098378962
0.9696444058976583,0.97594968669931
0.9466666666666667,0.9543513751413246
2.9655433260220394,0.9610008323664442
1.0052173913043478,0.9874707025023084
0.9818181818181818,0.977088899040353
0.8618524332810047,0.8722080149204394
0.9477611940298507,0.9558946786076262
0.9863481228668942,0.9763210606646812
0.9827586206896551,0.9803053637699503
0.9609665427509294,0.9791565235227324
0.987037037037037,0.9882850226494816
0.6892545982575023,1.0071393999362233
0.975925925925926,0.9817702037159741
0.8515531728847973,0.944747273510217
0.9948453608247423,0.9796358009795156
0.8999204951361731,0.9639259573565385
1.0,0.9854625163862866
0.17780231916068473,0.17523941001927665
0.9864636209813875,0.979743946071777
0.9433333333333334,0.9506044795921883
0.9724137931034482,0.9814690403416515
0.92,0.9333269160428072
0.9438025210084033,0.9532337275443424
1.00945179584121,0.9953519387928503
0.9956342469075916,0.9734812672732849
0.981203007518797,0.9852092719404959
0.9229500687127806,0.9189083466903614
0.9823943661971831,0.9787236423251848
0.9809663250366032,0.9459165168973865
0.9773596938775511,0.9725391898378352
1.2650862068965518,1.1611865895324616
0.9891750653228817,0.9886762586716341
0.9664179104477612,0.9635642281342598
0.9708410584864319,0.9805486275525067
0.9912280701754386,0.9831569085229167
1.002384602282405,0.988109524059357
0.9639953542392566,0.9674168390886756
0.9965397923875432,0.9849439141267102
0.9962121212121212,0.9889309537894054
0.9924812030075187,0.9883320054951603
0.9947368421052631,0.965978056265309
0.9857142857142858,0.9787912854330005
1.0,0.991954470986012
0.9941860465116279,0.9851271786473004
0.9910215144841606,0.9839819014798397
0.9090545105119094,0.9403035442769508
1.0,0.9835266097690385
0.9694244604316546,0.9703479113417416
0.6666666666666667,0.736332571222542
0.9771863117870723,0.9692607706836598
0.9889742733043769,0.9833869045211797
0.9568965517241379,0.9501504597842539
0.9961832061068703,0.9907710532430112
0.9894566098945661,0.9814942524162004
0.9911504424778761,0.9798144118629969
0.9835526315789473,0.9745454575141426
1.0098684210526316,0.9863591175851026
0.9609929078014184,0.9592951609233211
1.0147492625368733,1.0598609215202517
0.9775280898876404,0.9848456391970543
0.9280964724444946,0.9716946280289688
0.4246884017568057,0.7473218491777847
1.0377358490566038,1.011333653641479
0.9791666666666666,0.9729178749285603
0.9964664310954063,0.984110866719548
0.9532374100719424,0.9605953398753223
0.9489795918367347,0.9581150335461303
0.99,0.9146631996710031
